account_code,account_name,level_1,level_2,is_cost,is_total,aliases,notes
1001,Total Salaries & Wages 薪资合计,酒店薪资及福利,经营指标,0,0,,auto_generated_from_vw_pnl_fact
1002,Total Benefits 福利合计,酒店薪资及福利,经营指标,0,0,,auto_generated_from_vw_pnl_fact
1003,"Total Hotel Wages & Benefits
  酒店薪资及福利合计 (%/总收入)",酒店薪资及福利,经营指标,1,0,,auto_generated_from_vw_pnl_fact
1003,Total Hotel Wages & Benefits 酒店薪资及福利合计 (%/总收入),酒店薪资及福利,经营指标,1,0,,auto_generated_from_vw_pnl_fact
101,Rooms客房部收入,收入,收入,0,0,,auto_generated_from_vw_pnl_fact
102,Food & Beverage餐饮部收入,收入,收入,0,0,,auto_generated_from_vw_pnl_fact
103,Outlet 餐厅收入,收入,收入2,0,0,,auto_generated_from_vw_pnl_fact
104,Banquet 宴会收入,收入,收入2,0,0,,auto_generated_from_vw_pnl_fact
105,Other Operated Dept其它营业部门收入,收入,收入,0,0,,auto_generated_from_vw_pnl_fact
106,Rentals and Other Income其它收入,收入,收入,0,0,,auto_generated_from_vw_pnl_fact
107,Total Revenue 收入合计 (%/总收入),收入,汇总,0,1,,auto_generated_from_vw_pnl_fact
201,Food食品成本,成本,营业成本,1,0,,auto_generated_from_vw_pnl_fact
202,Beverage酒水成本,成本,营业成本,0,0,,auto_generated_from_vw_pnl_fact
203,F&B - Misc. Cost其他成本,成本,营业成本,0,0,,auto_generated_from_vw_pnl_fact
204,Other Operated Dept. 其它营业部门成本,成本,营业成本,0,0,,auto_generated_from_vw_pnl_fact
205,Total Cost of Sales 营业成本合计 (%/总收入),成本,汇总,0,1,,auto_generated_from_vw_pnl_fact
301,Rooms客房部,成本,薪资及福利,0,0,,auto_generated_from_vw_pnl_fact
302,Food & Beverage餐饮部,成本,薪资及福利,0,0,,auto_generated_from_vw_pnl_fact
303,Other Operated Dept. 其它营业部门,成本,薪资及福利,0,0,,auto_generated_from_vw_pnl_fact
304,Total Wages & Benefits 薪资福利合计 (%/总收入),成本,汇总,0,1,,auto_generated_from_vw_pnl_fact
310000,Total Revenue总收入合计,收入,汇总,0,1,,auto_generated_from_vw_pnl_fact
401,Rooms客房部-其它费用,成本,其它费用,1,0,,auto_generated_from_vw_pnl_fact
402,Food & Beverage餐饮部-其它费用,成本,其它费用,0,0,,auto_generated_from_vw_pnl_fact
403,Other Operated Dept. 其它营业部门-其它费用,成本,其它费用,0,0,,auto_generated_from_vw_pnl_fact
404,Total Other Expenses 其它费用合计 (%/总收入),成本,汇总,0,1,,auto_generated_from_vw_pnl_fact
501,Rooms客房,利润,部门利润,0,0,,auto_generated_from_vw_pnl_fact
502,Food & Beverage餐饮,利润,部门利润,0,0,,auto_generated_from_vw_pnl_fact
503,Other Operated Dept.其它营业部门,利润,部门利润,0,0,,auto_generated_from_vw_pnl_fact
504,Rentals and Other Income其它收入,利润,部门利润,0,0,,auto_generated_from_vw_pnl_fact
505,Total Dept. Profit 部门利润合计 (%/总收入),利润,汇总,0,0,,auto_generated_from_vw_pnl_fact
601,General & Administrative行政部门,成本,未分配费用,0,0,,auto_generated_from_vw_pnl_fact
602,Sales & Marketing市场销售部,成本,未分配费用,0,0,,auto_generated_from_vw_pnl_fact
603,Property Operation & Maintenance工程部,成本,未分配费用,1,0,,auto_generated_from_vw_pnl_fact
