hotel_name,hotel_aliases,area,manage_corp,brand,brand_child,city,city_level,brand_level,builder,is_active,notes
上饶嘉华,,中南区,万达品牌,万达,嘉华,上饶,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
东莞东城文华,,,,,,东莞东城,,,,1,auto_imported_from_basedata_pending_review
东莞文华,,华南区,,万达,文华,东莞,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
东营嘉华,,华北区,万达品牌,万达,嘉华,东营,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
丹东嘉华,,东北区,万达品牌,万达,嘉华,丹东,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
义乌嘉华,,华东区,万达品牌,万达,嘉华,义乌,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
乌鲁木齐文华,,西北区,万达品牌,万达,文华,乌鲁木齐,三线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
亳州嘉华,,华东区,万达品牌,万达,嘉华,亳州,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
兰州文华,,西北区,万达品牌,万达,文华,兰州,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
内江嘉华,,华南区,万达品牌,万达,嘉华,内江,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
北京万丽,,华北区,,国际品牌,万豪,北京,一线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
北京嘉华,,华北区,万达品牌,万达,嘉华,北京,,,自建,1,db_enriched_from_dim_and_overview
北京智选假日,,华北区,,国际品牌,洲际,北京,一线城市,中端级,自建,1,db_enriched_from_dim_and_overview
南京嘉华,,华东区,万达品牌,万达,嘉华,南京,新一线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
南宁嘉华,,华南区,,万达,嘉华,南宁,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
南宁嘉华度假,,,,,,南宁度假,,,,1,auto_imported_from_basedata_pending_review
南宁文华,,华南区,万达品牌,万达,文华,南宁,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
南昌嘉华,,中南区,万达品牌,万达,嘉华,南昌,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
合肥威斯汀,,华东区,,国际品牌,万豪,合肥,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
呼和浩特文华,,西北区,万达品牌,万达,文华,呼和浩特,三线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
哈尔滨丽思卡尔顿,,华北区,,国际品牌,万豪,哈尔滨,二线城市,奢华级,自建,1,db_enriched_from_dim_and_overview
哈尔滨嘉华,,东北区,万达品牌,万达,嘉华,哈尔滨,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
唐山洲际,,华北区,,国际品牌,洲际,唐山,三线城市,豪华五星级,原万达,1,db_enriched_from_dim_and_overview
四平嘉华,,东北区,万达品牌,万达,嘉华,四平,五线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
大庆喜来登,,华北区,,国际品牌,万豪,大庆,四线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
大连希尔顿,,华北区,,国际品牌,希尔顿,大连,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
大连康莱德,,华北区,,国际品牌,希尔顿,大连,二线城市,豪华五星级,原万达,1,db_enriched_from_dim_and_overview
天津文华,,华北区,万达品牌,万达,文华,天津,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
太原文华,,西北区,万达品牌,万达,文华,太原,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
太原铂尔曼,,西北区,,国际品牌,雅高,太原,二线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
宁德嘉华,,中南区,万达品牌,万达,嘉华,宁德,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
宁波富力索菲特酒店,,华东区,国际品牌,国际品牌,雅高,宁波,,,原万达,1,db_enriched_from_dim_and_overview
宁波湖畔凯悦尚萃,,华东区,,国际品牌,凯悦,宁波,新一线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
安阳嘉华,,华北区,万达品牌,万达,嘉华,安阳,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
宜兴艾美,,华东区,,国际品牌,万豪,宜兴,三线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
宜昌皇冠假日,,中南区,,国际品牌,洲际,宜昌,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
常州喜来登,,华东区,,国际品牌,万豪,常州,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
常州嘉华,,华东区,,万达,嘉华,常州,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
常州武进嘉华,,,,,,常州武进,,,,1,auto_imported_from_basedata_pending_review
广元嘉华,,华南区,万达品牌,万达,嘉华,广元,五线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
广州丽思卡尔顿公寓,,华南区,,国际品牌,万豪,广州,一线城市,奢华级,自建,1,db_enriched_from_dim_and_overview
广州丽思卡尔顿酒店,,华南区,,国际品牌,万豪,广州,一线城市,奢华级,自建,1,db_enriched_from_dim_and_overview
广州君悦,,华南区,,国际品牌,凯悦,广州,一线城市,豪华五星级,自建,1,db_enriched_from_dim_and_overview
广州增城嘉华,,华南区,万达品牌,万达,嘉华,广州,一线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
广州富力丽思卡尔顿酒店及公寓,,华南区,,国际品牌,万豪,广州,,,自建,1,db_enriched_from_dim_and_overview
广州柏悦,,华南区,,国际品牌,凯悦,广州,一线城市,奢华级,自建,1,db_enriched_from_dim_and_overview
广州空港假日,,华南区,,国际品牌,洲际,广州,一线城市,高端四星级,自建,1,db_enriched_from_dim_and_overview
廊坊嘉华,,华北区,万达品牌,万达,嘉华,廊坊,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
惠东富力希尔顿逸林度假酒店,,华南区,国际品牌,国际品牌,希尔顿,惠东,,,自建,1,db_enriched_from_dim_and_overview
惠州万丽,,华南区,,国际品牌,万豪,惠州,二线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
惠州洲际度假,,华南区,,国际品牌,洲际,惠州,二线城市,豪华五星级,自建,1,db_enriched_from_dim_and_overview
成都丽思卡尔顿,,西南区,,国际品牌,万豪,成都,新一线城市,奢华级,自建,1,db_enriched_from_dim_and_overview
成都逸兰（富力）服务式公寓,,西南区,国际品牌,国际品牌,其它,成都,,,自建,1,db_enriched_from_dim_and_overview
抚顺嘉华,,东北区,万达品牌,万达,嘉华,抚顺,五线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
无锡喜来登,,华东区,,国际品牌,万豪,无锡,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
昆明文华,,华南区,万达品牌,万达,文华,昆明,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
柳州嘉华,,华南区,万达品牌,万达,嘉华,柳州,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
武汉嘉华,,中南区,万达品牌,万达,嘉华,武汉,新一线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
武汉威斯汀,,中南区,,国际品牌,万豪,武汉,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
江门嘉华,,华南区,万达品牌,万达,嘉华,江门,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
沈阳文华,,东北区,万达品牌,万达,文华,沈阳,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
泉州文华,,中南区,万达品牌,万达,文华,泉州,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
泰安嘉华,,华北区,万达品牌,万达,嘉华,泰安,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
泰州嘉华,,华东区,万达品牌,万达,嘉华,泰州,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
济南凯悦,,华北区,,国际品牌,凯悦,济南,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
济宁嘉华,,华北区,万达品牌,万达,嘉华,济宁,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
海南海洋欢乐世界度假区凯悦,,海南区,,国际品牌,凯悦,陵水黎族自治,三线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
海南澄迈希尔顿逸林,,海南区,,国际品牌,希尔顿,澄迈,三线城市,高端四星级,自建,1,db_enriched_from_dim_and_overview
淮安嘉华,,华东区,万达品牌,万达,嘉华,淮安,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
潍坊铂尔曼,,华北区,万达品牌,万达,铂尔曼,潍坊,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
石家庄洲际,,华北区,,国际品牌,洲际,石家庄,二线城市,豪华五星级,原万达,1,db_enriched_from_dim_and_overview
福州富力威斯汀酒店,,中南区,国际品牌,国际品牌,万豪,福州,,,原万达,1,db_enriched_from_dim_and_overview
芜湖嘉华,,华东区,万达品牌,万达,嘉华,芜湖,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
荆州嘉华,,中南区,万达品牌,万达,嘉华,荆州,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
蚌埠嘉华,,华东区,万达品牌,万达,嘉华,蚌埠,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
襄阳皇冠假日,,中南区,,国际品牌,洲际,襄阳,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
西宁文华,,西北区,万达品牌,万达,文华,西宁,四线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
西安希尔顿,,西北区,,国际品牌,希尔顿,西安,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
赤峰嘉华,,西北区,万达品牌,万达,嘉华,赤峰,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
郑州文华,,华北区,万达品牌,万达,文华,郑州,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
